,Year,Secondary ratio,CU,SR,TCRC,SP2
Baoding (Dawufeng),1992,0,,,987.505982760015,
Baoding (Dawufeng),1993,0,,,959.1938700091315,643.4263428857876
Baoding (Dawufeng),1994,0,,,841.3371092476353,710.6444034910924
Baoding (Dawufeng),1995,0,,,659.2490789967804,1003.1611059604347
Baoding (Dawufeng),1996,0,,,839.2436749351455,694.3183006954018
Baoding (Dawufeng),1997,0,,,906.3963774982449,686.8798854471715
Baoding (Dawufeng),1998,0,,,820.28826929231,498.08672926585473
Baoding (Dawufeng),1999,0,,,557.9950901626388,452.20109928406646
Baoding (Dawufeng),2000,0,,,555.4588259029698,533.8081174976221
Baoding (Dawufeng),2001,0,,,585.971062800398,398.2247760378723
Baoding (Dawufeng),2002,0,,,528.7539362675177,358.9698750922221
Baoding (Dawufeng),2003,0,,,437.7020239493989,303.6604734259495
Baoding (Dawufeng),2004,0,,,314.71018578087495,642.7808068011332
Baoding (Dawufeng),2005,0,,,605.9993462162437,702.623222632848
Baoding (Dawufeng),2006,0,,,654.0771892519688,1222.9212106889845
Baoding (Dawufeng),2007,0,,,400.97019232272004,1066.9176514175442
Baoding (Dawufeng),2008,0,,,289.6092544923923,870.8586548308886
Baoding (Dawufeng),2009,0,1.0,1.0,484.40437246063215,733.937472228944
Baoding (Dawufeng),2010,0,0.6666666666666666,1.0,295.48463456469347,965.4771784642735
Baoding (Dawufeng),2011,0,0.45,1.0,344.9625421973603,1184.76825799962
Baoding (Dawufeng),2012,0,0.45,1.0,377.1973518924253,910.701977977671
Baoding (Dawufeng),2013,0,0.515,1.0,416.49708654295705,620.9346932352228
Baoding (Dawufeng),2014,0,0.43,1.0,538.6579380491202,637.6917506905429
Baoding (Dawufeng),2015,0,0.45,1.0,625.7403040522361,626.0847314924467
Baoding (Dawufeng),2016,0,0.5,1.0,562.2139195262345,526.1823495711269
Baoding (Dawufeng),2017,0,0.7,1.0,523.0624830203443,756.6289598528965
Beijing,1992,0,1.1,1.0,987.505982760015,
Beijing,1993,0,0.5625,1.0,959.1938700091315,643.4263428857876
Beijing,1994,0,0.625,1.0,841.3371092476353,710.6444034910924
Beijing,1995,0,0.375,1.0,659.2490789967804,1003.1611059604347
Beijing,1996,0,0.5,1.0,839.2436749351455,694.3183006954018
Beijing,1997,0,0.10125,1.0,906.3963774982449,686.8798854471715
Beijing,1998,0,0.0125,1.0,820.28826929231,498.08672926585473
Beijing,1999,0,0.015625,1.0,557.9950901626388,452.20109928406646
Beijing,2000,0,0.028875,1.0,555.4588259029698,533.8081174976221
Beijing,2001,0,0.025,1.0,585.971062800398,398.2247760378723
Beijing,2002,0,0.025,1.0,528.7539362675177,358.9698750922221
Beijing,2003,0,0.025,1.0,437.7020239493989,303.6604734259495
Beijing,2004,0,,,314.71018578087495,642.7808068011332
Beijing,2005,0,,,605.9993462162437,702.623222632848
Beijing,2006,0,,,654.0771892519688,1222.9212106889845
Beijing,2007,0,,,400.97019232272004,1066.9176514175442
Beijing,2008,0,,,289.6092544923923,870.8586548308886
Beijing,2009,0,,,484.40437246063215,733.937472228944
Beijing,2010,0,,,295.48463456469347,965.4771784642735
Beijing,2011,0,,,344.9625421973603,1184.76825799962
Beijing,2012,0,,,377.1973518924253,910.701977977671
Beijing,2013,0,,,416.49708654295705,620.9346932352228
Beijing,2014,0,,,538.6579380491202,637.6917506905429
Beijing,2015,0,,,625.7403040522361,626.0847314924467
Beijing,2016,0,,,562.2139195262345,526.1823495711269
Beijing,2017,0,,,523.0624830203443,756.6289598528965
Changzhou,1992,0,0.7333333333333333,0.18181818181818182,987.505982760015,
Changzhou,1993,0,0.9333333333333333,0.21428571428571427,959.1938700091315,643.4263428857876
Changzhou,1994,0,0.9333333333333333,0.21428571428571427,841.3371092476353,710.6444034910924
Changzhou,1995,0,0.9333333333333333,0.03571428571428571,659.2490789967804,1003.1611059604347
Changzhou,1996,0,1.0,0.03333333333333333,839.2436749351455,694.3183006954018
Changzhou,1997,0,1.0666666666666667,0.0625,906.3963774982449,686.8798854471715
Changzhou,1998,0,0.8666666666666667,,820.28826929231,498.08672926585473
