,Year,CU,TCRC,SP2
Baiyin,1992,0.9444444444444444,987.505982760015,
Baiyin,1993,1.0733333333333333,959.1938700091315,643.4263428857876
Baiyin,1994,0.9899583333333334,841.3371092476353,710.6444034910924
Baiyin,1995,0.9980392156862745,659.2490789967804,1003.1611059604347
Baiyin,1996,0.9963934426229508,839.2436749351455,694.3183006954018
Baiyin,1997,0.9666666666666667,906.3963774982449,686.8798854471715
Baiyin,1998,0.907723076923077,820.28826929231,498.08672926585473
Baiyin,1999,0.5105692307692308,557.9950901626388,452.20109928406646
Baiyin,2000,0.8146,555.4588259029698,533.8081174976221
Baiyin,2001,0.9149285714285714,585.971062800398,398.2247760378723
Baiyin,2002,0.8606857142857143,528.7539362675177,358.9698750922221
Baiyin,2003,0.8852714285714286,437.7020239493989,303.6604734259495
Baiyin,2004,0.8933857142857142,314.71018578087495,642.7808068011332
Baiyin,2005,0.8614111111111111,605.9993462162437,702.623222632848
Baiyin,2006,0.8420111111111112,654.0771892519688,1222.9212106889845
Baiyin,2007,0.7922222222222222,400.97019232272004,1066.9176514175442
Baiyin,2008,0.8522222222222222,289.6092544923923,870.8586548308886
Baiyin,2009,0.519,484.40437246063215,733.937472228944
Baiyin,2010,1.0090000000000001,295.48463456469347,965.4771784642735
Baiyin,2011,0.7333333333333333,344.9625421973603,1184.76825799962
Baiyin,2012,0.6126666666666667,377.1973518924253,910.701977977671
Baiyin,2013,0.8333333333333334,416.49708654295705,620.9346932352228
Baiyin,2014,0.7222222222222222,538.6579380491202,637.6917506905429
Baiyin,2015,0.75,625.7403040522361,626.0847314924467
Baiyin,2016,0.7777777777777778,562.2139195262345,526.1823495711269
Baiyin,2017,0.8888888888888888,523.0624830203443,756.6289598528965
Baoding,1992,,987.505982760015,
Baoding,1993,,959.1938700091315,643.4263428857876
Baoding,1994,,841.3371092476353,710.6444034910924
Baoding,1995,,659.2490789967804,1003.1611059604347
Baoding,1996,,839.2436749351455,694.3183006954018
Baoding,1997,,906.3963774982449,686.8798854471715
Baoding,1998,,820.28826929231,498.08672926585473
Baoding,1999,,557.9950901626388,452.20109928406646
Baoding,2000,,555.4588259029698,533.8081174976221
Baoding,2001,,585.971062800398,398.2247760378723
Baoding,2002,,528.7539362675177,358.9698750922221
Baoding,2003,,437.7020239493989,303.6604734259495
Baoding,2004,,314.71018578087495,642.7808068011332
Baoding,2005,,605.9993462162437,702.623222632848
Baoding,2006,,654.0771892519688,1222.9212106889845
Baoding,2007,,400.97019232272004,1066.9176514175442
Baoding,2008,,289.6092544923923,870.8586548308886
Baoding,2009,,484.40437246063215,733.937472228944
Baoding,2010,0.22,295.48463456469347,965.4771784642735
Baoding,2011,0.1685,344.9625421973603,1184.76825799962
Baoding,2012,0.23,377.1973518924253,910.701977977671
Baoding,2013,0.25,416.49708654295705,620.9346932352228
Baoding,2014,0.25,538.6579380491202,637.6917506905429
Baoding,2015,0.2,625.7403040522361,626.0847314924467
Baoding,2016,0.25,562.2139195262345,526.1823495711269
Baoding,2017,0.3,523.0624830203443,756.6289598528965
Baoding (Dawufeng),1992,,987.505982760015,
Baoding (Dawufeng),1993,,959.1938700091315,643.4263428857876
Baoding (Dawufeng),1994,,841.3371092476353,710.6444034910924
Baoding (Dawufeng),1995,,659.2490789967804,1003.1611059604347
Baoding (Dawufeng),1996,,839.2436749351455,694.3183006954018
Baoding (Dawufeng),1997,,906.3963774982449,686.8798854471715
Baoding (Dawufeng),1998,,820.28826929231,498.08672926585473
Baoding (Dawufeng),1999,,557.9950901626388,452.20109928406646
Baoding (Dawufeng),2000,,555.4588259029698,533.8081174976221
Baoding (Dawufeng),2001,,585.971062800398,398.2247760378723
Baoding (Dawufeng),2002,,528.7539362675177,358.9698750922221
Baoding (Dawufeng),2003,,437.7020239493989,303.6604734259495
Baoding (Dawufeng),2004,,314.71018578087495,642.7808068011332
Baoding (Dawufeng),2005,,605.9993462162437,702.623222632848
Baoding (Dawufeng),2006,,654.0771892519688,1222.9212106889845
Baoding (Dawufeng),2007,,400.97019232272004,1066.9176514175442
Baoding (Dawufeng),2008,,289.6092544923923,870.8586548308886
Baoding (Dawufeng),2009,1.0,484.40437246063215,733.937472228944
Baoding (Dawufeng),2010,0.6666666666666666,295.48463456469347,965.4771784642735
Baoding (Dawufeng),2011,0.45,344.9625421973603,1184.76825799962
Baoding (Dawufeng),2012,0.45,377.1973518924253,910.701977977671
Baoding (Dawufeng),2013,0.515,416.49708654295705,620.9346932352228
Baoding (Dawufeng),2014,0.43,538.6579380491202,637.6917506905429
Baoding (Dawufeng),2015,0.45,625.7403040522361,626.0847314924467
Baoding (Dawufeng),2016,0.5,562.2139195262345,526.1823495711269
Baoding (Dawufeng),2017,0.7,523.0624830203443,756.6289598528965
Baotou,1992,,987.505982760015,
Baotou,1993,,959.1938700091315,643.4263428857876
Baotou,1994,,841.3371092476353,710.6444034910924
Baotou,1995,0.9400000000000001,659.2490789967804,1003.1611059604347
Baotou,1996,0.78,839.2436749351455,694.3183006954018
Baotou,1997,0.9800000000000001,906.3963774982449,686.8798854471715
Baotou,1998,0.9800000000000001,820.28826929231,498.08672926585473
Baotou,1999,0.9800000000000001,557.9950901626388,452.20109928406646
Baotou,2000,1.1,555.4588259029698,533.8081174976221
Baotou,2001,0.9333333333333332,585.971062800398,398.2247760378723
Baotou,2002,0.9166666666666666,528.7539362675177,358.9698750922221
Baotou,2003,0.75,437.7020239493989,303.6604734259495
Baotou,2004,1.0,314.71018578087495,642.7808068011332
Baotou,2005,1.0,605.9993462162437,702.623222632848
Baotou,2006,1.0,654.0771892519688,1222.9212106889845
Baotou,2007,1.0,400.97019232272004,1066.9176514175442
Baotou,2008,,289.6092544923923,870.8586548308886
Baotou,2009,,484.40437246063215,733.937472228944
Baotou,2010,,295.48463456469347,965.4771784642735
Baotou,2011,,344.9625421973603,1184.76825799962
Baotou,2012,,377.1973518924253,910.701977977671
Baotou,2013,,416.49708654295705,620.9346932352228
Baotou,2014,,538.6579380491202,637.6917506905429
Baotou,2015,,625.7403040522361,626.0847314924467
Baotou,2016,,562.2139195262345,526.1823495711269
Baotou,2017,,523.0624830203443,756.6289598528965
Baotou Huading,1992,,987.505982760015,
Baotou Huading,1993,,959.1938700091315,643.4263428857876
Baotou Huading,1994,,841.3371092476353,710.6444034910924
Baotou Huading,1995,,659.2490789967804,1003.1611059604347
Baotou Huading,1996,,839.2436749351455,694.3183006954018
Baotou Huading,1997,,906.3963774982449,686.8798854471715
Baotou Huading,1998,,820.28826929231,498.08672926585473
Baotou Huading,1999,,557.9950901626388,452.20109928406646
Baotou Huading,2000,,555.4588259029698,533.8081174976221
Baotou Huading,2001,,585.971062800398,398.2247760378723
Baotou Huading,2002,,528.7539362675177,358.9698750922221
Baotou Huading,2003,,437.7020239493989,303.6604734259495
Baotou Huading,2004,,314.71018578087495,642.7808068011332
Baotou Huading,2005,,605.9993462162437,702.623222632848
Baotou Huading,2006,,654.0771892519688,1222.9212106889845
Baotou Huading,2007,,400.97019232272004,1066.9176514175442
Baotou Huading,2008,,289.6092544923923,870.8586548308886
Baotou Huading,2009,,484.40437246063215,733.937472228944
Baotou Huading,2010,,295.48463456469347,965.4771784642735
Baotou Huading,2011,,344.9625421973603,1184.76825799962
Baotou Huading,2012,0.13333333333333333,377.1973518924253,910.701977977671
Baotou Huading,2013,0.36666666666666664,416.49708654295705,620.9346932352228
Baotou Huading,2014,,538.6579380491202,637.6917506905429
Baotou Huading,2015,1.0,625.7403040522361,626.0847314924467
Baotou Huading,2016,1.0,562.2139195262345,526.1823495711269
Baotou Huading,2017,1.0,523.0624830203443,756.6289598528965
Bayuannaoer,1992,,987.505982760015,
Bayuannaoer,1993,,959.1938700091315,643.4263428857876
Bayuannaoer,1994,,841.3371092476353,710.6444034910924
Bayuannaoer,1995,,659.2490789967804,1003.1611059604347
Bayuannaoer,1996,,839.2436749351455,694.3183006954018
Bayuannaoer,1997,,906.3963774982449,686.8798854471715
Bayuannaoer,1998,,820.28826929231,498.08672926585473
Bayuannaoer,1999,,557.9950901626388,452.20109928406646
Bayuannaoer,2000,,555.4588259029698,533.8081174976221
Bayuannaoer,2001,,585.971062800398,398.2247760378723
Bayuannaoer,2002,,528.7539362675177,358.9698750922221
Bayuannaoer,2003,,437.7020239493989,303.6604734259495
Bayuannaoer,2004,,314.71018578087495,642.7808068011332
Bayuannaoer,2005,,605.9993462162437,702.623222632848
Bayuannaoer,2006,,654.0771892519688,1222.9212106889845
Bayuannaoer,2007,,400.97019232272004,1066.9176514175442
Bayuannaoer,2008,,289.6092544923923,870.8586548308886
Bayuannaoer,2009,,484.40437246063215,733.937472228944
Bayuannaoer,2010,0.532,295.48463456469347,965.4771784642735
Bayuannaoer,2011,0.73456,344.9625421973603,1184.76825799962
Bayuannaoer,2012,0.12,377.1973518924253,910.701977977671
Bayuannaoer,2013,0.183,416.49708654295705,620.9346932352228
Bayuannaoer,2014,0.37,538.6579380491202,637.6917506905429
Bayuannaoer,2015,0.15,625.7403040522361,626.0847314924467
Bayuannaoer,2016,0.5,562.2139195262345,526.1823495711269
Bayuannaoer,2017,0.75,523.0624830203443,756.6289598528965
Beijing,1992,1.1,987.505982760015,
Beijing,1993,0.5625,959.1938700091315,643.4263428857876
Beijing,1994,0.625,841.3371092476353,710.6444034910924
Beijing,1995,0.375,659.2490789967804,1003.1611059604347
Beijing,1996,0.5,839.2436749351455,694.3183006954018
Beijing,1997,0.10125,906.3963774982449,686.8798854471715
Beijing,1998,0.0125,820.28826929231,498.08672926585473
Beijing,1999,0.015625,557.9950901626388,452.20109928406646
Beijing,2000,0.028875,555.4588259029698,533.8081174976221
Beijing,2001,0.025,585.971062800398,398.2247760378723
Beijing,2002,0.025,528.7539362675177,358.9698750922221
Beijing,2003,0.025,437.7020239493989,303.6604734259495
Beijing,2004,,314.71018578087495,642.7808068011332
Beijing,2005,,605.9993462162437,702.623222632848
Beijing,2006,,654.0771892519688,1222.9212106889845
Beijing,2007,,400.97019232272004,1066.9176514175442
Beijing,2008,,289.6092544923923,870.8586548308886
Beijing,2009,,484.40437246063215,733.937472228944
Beijing,2010,,295.48463456469347,965.4771784642735
Beijing,2011,,344.9625421973603,1184.76825799962
Beijing,2012,,377.1973518924253,910.701977977671
Beijing,2013,,416.49708654295705,620.9346932352228
Beijing,2014,,538.6579380491202,637.6917506905429
Beijing,2015,,625.7403040522361,626.0847314924467
Beijing,2016,,562.2139195262345,526.1823495711269
Beijing,2017,,523.0624830203443,756.6289598528965
Changjiang (Shilu),1992,0.96,987.505982760015,
Changjiang (Shilu),1993,1.0,959.1938700091315,643.4263428857876
Changjiang (Shilu),1994,0.768875,841.3371092476353,710.6444034910924
Changjiang (Shilu),1995,0.875,659.2490789967804,1003.1611059604347
Changjiang (Shilu),1996,0.7291666666666666,839.2436749351455,694.3183006954018
Changjiang (Shilu),1997,0.6666666666666666,906.3963774982449,686.8798854471715
Changjiang (Shilu),1998,0.5,820.28826929231,498.08672926585473
Changjiang (Shilu),1999,0.23008333333333333,557.9950901626388,452.20109928406646
Changjiang (Shilu),2000,0.064,555.4588259029698,533.8081174976221
Changjiang (Shilu),2001,0.03325,585.971062800398,398.2247760378723
Changjiang (Shilu),2002,,528.7539362675177,358.9698750922221
Changjiang (Shilu),2003,,437.7020239493989,303.6604734259495
Changjiang (Shilu),2004,,314.71018578087495,642.7808068011332
Changjiang (Shilu),2005,,605.9993462162437,702.623222632848
Changjiang (Shilu),2006,,654.0771892519688,1222.9212106889845
Changjiang (Shilu),2007,,400.97019232272004,1066.9176514175442
Changjiang (Shilu),2008,,289.6092544923923,870.8586548308886
Changjiang (Shilu),2009,,484.40437246063215,733.937472228944
Changjiang (Shilu),2010,,295.48463456469347,965.4771784642735
Changjiang (Shilu),2011,,344.9625421973603,1184.76825799962
Changjiang (Shilu),2012,,377.1973518924253,910.701977977671
Changjiang (Shilu),2013,,416.49708654295705,620.9346932352228
Changjiang (Shilu),2014,,538.6579380491202,637.6917506905429
Changjiang (Shilu),2015,,625.7403040522361,626.0847314924467
Changjiang (Shilu),2016,,562.2139195262345,526.1823495711269
Changjiang (Shilu),2017,,523.0624830203443,756.6289598528965
Changzhou,1992,0.7333333333333333,987.505982760015,
Changzhou,1993,0.9333333333333333,959.1938700091315,643.4263428857876
Changzhou,1994,0.9333333333333333,841.3371092476353,710.6444034910924
Changzhou,1995,0.9333333333333333,659.2490789967804,1003.1611059604347
Changzhou,1996,1.0,839.2436749351455,694.3183006954018
Changzhou,1997,1.0666666666666667,906.3963774982449,686.8798854471715
Changzhou,1998,0.8666666666666667,820.28826929231,498.08672926585473
Changzhou,1999,0.22333333333333333,557.9950901626388,452.20109928406646
