,Year,CU,TCRC,SP2
Dikuluwe-Mashamba,2015,1.0,625.7403040522361,626.0847314924467
Dikuluwe-Mashamba,2016,1.0,562.2139195262345,526.1823495711269
Dikuluwe-Mashamba,2017,1.0,523.0624830203443,756.6289598528965
Etoile,2007,1.0,400.97019232272004,1066.9176514175442
Etoile,2008,1.0,289.6092544923923,870.8586548308886
Etoile,2009,1.0,484.40437246063215,733.937472228944
Etoile,2010,1.0,295.48463456469347,965.4771784642735
Etoile,2011,1.0,344.9625421973603,1184.76825799962
Etoile,2012,1.0,377.1973518924253,910.701977977671
Etoile,2013,1.0,416.49708654295705,620.9346932352228
Etoile,2014,1.0,538.6579380491202,637.6917506905429
Etoile,2015,1.0,625.7403040522361,626.0847314924467
Etoile,2016,1.0,562.2139195262345,526.1823495711269
Etoile,2017,1.0,523.0624830203443,756.6289598528965
Huachin,2012,1.0,377.1973518924253,910.701977977671
Huachin,2013,1.0,416.49708654295705,620.9346932352228
Huachin,2014,1.0,538.6579380491202,637.6917506905429
Huachin,2015,1.0,625.7403040522361,626.0847314924467
Huachin,2016,1.0,562.2139195262345,526.1823495711269
Huachin,2017,1.0,523.0624830203443,756.6289598528965
Kalumbwe & Myunga,2012,1.0,377.1973518924253,910.701977977671
Kalumbwe & Myunga,2013,1.0,416.49708654295705,620.9346932352228
Kalumbwe & Myunga,2014,1.0,538.6579380491202,637.6917506905429
Kalumbwe & Myunga,2015,1.0,625.7403040522361,626.0847314924467
Kalumbwe & Myunga,2016,1.0,562.2139195262345,526.1823495711269
Kalumbwe & Myunga,2017,1.0,523.0624830203443,756.6289598528965
Kinsevere-Nambulwa,2011,1.0,344.9625421973603,1184.76825799962
Kinsevere-Nambulwa,2012,1.0,377.1973518924253,910.701977977671
Kinsevere-Nambulwa,2013,1.0,416.49708654295705,620.9346932352228
Kinsevere-Nambulwa,2014,1.0,538.6579380491202,637.6917506905429
Kinsevere-Nambulwa,2015,1.0,625.7403040522361,626.0847314924467
Kinsevere-Nambulwa,2016,1.0,562.2139195262345,526.1823495711269
Kinsevere-Nambulwa,2017,1.0,523.0624830203443,756.6289598528965
Kipoi,2014,1.0,538.6579380491202,637.6917506905429
Kipoi,2015,1.0,625.7403040522361,626.0847314924467
Kipoi,2016,1.0,562.2139195262345,526.1823495711269
Kipoi,2017,1.0,523.0624830203443,756.6289598528965
Kolwezi (Commus) SxEw,2017,1.0,523.0624830203443,756.6289598528965
Luilu,1992,0.376,987.505982760015,
Luilu,1993,0.02528,959.1938700091315,643.4263428857876
Luilu,1994,0.8,841.3371092476353,710.6444034910924
Luilu,1995,0.72,659.2490789967804,1003.1611059604347
Luilu,1996,0.84,839.2436749351455,694.3183006954018
Luilu,1997,0.8,906.3963774982449,686.8798854471715
Luilu,1998,0.8728400000000001,820.28826929231,498.08672926585473
Luilu,1999,0.92,557.9950901626388,452.20109928406646
Luilu,2000,0.8079999999999999,555.4588259029698,533.8081174976221
Luilu,2001,0.4508,585.971062800398,398.2247760378723
Luilu,2002,0.2808,528.7539362675177,358.9698750922221
Luilu,2003,0.0748,437.7020239493989,303.6604734259495
Luilu,2004,0.26039999999999996,314.71018578087495,642.7808068011332
Luilu,2005,0.48916,605.9993462162437,702.623222632848
Luilu,2006,0.24896000000000001,654.0771892519688,1222.9212106889845
Luilu,2007,0.013600000000000001,400.97019232272004,1066.9176514175442
Luilu,2008,0.8,289.6092544923923,870.8586548308886
Luilu,2009,0.6420666666666667,484.40437246063215,733.937472228944
Luilu,2010,0.46199999999999997,295.48463456469347,965.4771784642735
Luilu,2011,0.36507142857142855,344.9625421973603,1184.76825799962
Luilu,2012,0.278,377.1973518924253,910.701977977671
Luilu,2013,0.47092038396386227,416.49708654295705,620.9346932352228
Luilu,2014,0.628064,538.6579380491202,637.6917506905429
Luilu,2015,0.8216615384615384,625.7403040522361,626.0847314924467
Luilu,2017,0.6666666666666666,523.0624830203443,756.6289598528965
