,Year,Secondary ratio,CU,SR,TCRC,SP2
Egyptian Copper,1992,0,0.875,1.0,987.505982760015,
Egyptian Copper,1993,0,0.875,1.0,959.1938700091315,643.4263428857876
Egyptian Copper,1994,0,0.875,1.0,841.3371092476353,710.6444034910924
Egyptian Copper,1995,0,0.875,1.0,659.2490789967804,1003.1611059604347
Egyptian Copper,1996,0,0.875,1.0,839.2436749351455,694.3183006954018
Egyptian Copper,1997,0,0.875,1.0,906.3963774982449,686.8798854471715
Egyptian Copper,1998,0,0.875,1.0,820.28826929231,498.08672926585473
Egyptian Copper,1999,0,0.875,1.0,557.9950901626388,452.20109928406646
Egyptian Copper,2000,0,0.875,1.0,555.4588259029698,533.8081174976221
Egyptian Copper,2001,0,0.875,1.0,585.971062800398,398.2247760378723
Egyptian Copper,2002,0,0.875,1.0,528.7539362675177,358.9698750922221
Egyptian Copper,2003,0,0.875,1.0,437.7020239493989,303.6604734259495
Egyptian Copper,2004,0,0.875,1.0,314.71018578087495,642.7808068011332
Egyptian Copper,2005,0,0.875,1.0,605.9993462162437,702.623222632848
Egyptian Copper,2006,0,0.875,1.0,654.0771892519688,1222.9212106889845
Egyptian Copper,2007,0,0.875,1.0,400.97019232272004,1066.9176514175442
Egyptian Copper,2008,0,0.875,1.0,289.6092544923923,870.8586548308886
Egyptian Copper,2009,0,0.875,1.0,484.40437246063215,733.937472228944
Egyptian Copper,2010,0,0.875,1.0,295.48463456469347,965.4771784642735
Egyptian Copper,2011,0,0.875,1.0,344.9625421973603,1184.76825799962
Egyptian Copper,2012,0,0.875,1.0,377.1973518924253,910.701977977671
Egyptian Copper,2013,0,0.875,1.0,416.49708654295705,620.9346932352228
Egyptian Copper,2014,0,0.875,1.0,538.6579380491202,637.6917506905429
Egyptian Copper,2015,0,0.875,1.0,625.7403040522361,626.0847314924467
Egyptian Copper,2016,0,0.875,1.0,562.2139195262345,526.1823495711269
Egyptian Copper,2017,0,0.875,1.0,523.0624830203443,756.6289598528965
Olen,1992,0,0.8363636363636363,0.08731884057971015,987.505982760015,
Olen,1993,0,0.8272727272727273,0.08424908424908426,959.1938700091315,643.4263428857876
Olen,1994,0,0.806060606060606,0.07518796992481203,841.3371092476353,710.6444034910924
Olen,1995,0,0.8484848484848485,0.1357142857142857,659.2490789967804,1003.1611059604347
Olen,1996,0,0.8242424242424242,0.04779411764705882,839.2436749351455,694.3183006954018
Olen,1997,0,0.95,0.046315789473684206,906.3963774982449,686.8798854471715
Olen,1998,0,0.7620514285714286,0.06373773048688128,820.28826929231,498.08672926585473
Olen,1999,0,0.8097257142857143,0.08115622926987621,557.9950901626388,452.20109928406646
Olen,2000,0,0.89518,0.05010963477417151,555.4588259029698,533.8081174976221
Olen,2001,0,0.8927514285714286,0.04447566591884479,585.971062800398,398.2247760378723
Olen,2002,0,0.9085714285714286,0.0880503144654088,528.7539362675177,358.9698750922221
Olen,2003,0,0.9285714285714286,0.1076923076923077,437.7020239493989,303.6604734259495
Olen,2004,0,0.9805171428571428,0.180662682374607,314.71018578087495,642.7808068011332
Olen,2005,0,0.9742857142857143,0.17595307917888564,605.9993462162437,702.623222632848
Olen,2006,0,0.9789828571428572,0.1561387329122938,654.0771892519688,1222.9212106889845
Olen,2007,0,0.98,0.16034985422740525,400.97019232272004,1066.9176514175442
Olen,2008,0,0.9771428571428571,0.18421052631578946,289.6092544923923,870.8586548308886
Olen,2009,0,0.9285714285714286,0.2276923076923077,484.40437246063215,733.937472228944
Olen,2010,0,0.9971428571428571,0.233810888252149,295.48463456469347,965.4771784642735
Olen,2011,0,0.9942857142857143,0.2614942528735632,344.9625421973603,1184.76825799962
Olen,2012,0,1.0114285714285713,0.2889830508474576,377.1973518924253,910.701977977671
Olen,2013,0,0.98,0.3081632653061225,416.49708654295705,620.9346932352228
Olen,2014,0,0.9714285714285714,0.3088235294117647,538.6579380491202,637.6917506905429
Olen,2015,0,0.9571428571428572,0.20686567164179104,625.7403040522361,626.0847314924467
Olen,2016,0,1.0,0.35714285714285715,562.2139195262345,526.1823495711269
Olen,2017,0,1.0,0.35714285714285715,523.0624830203443,756.6289598528965
Kokkola Ew,2002,0,0.5,1.0,528.7539362675177,358.9698750922221
Kokkola Ew,2003,0,0.6466666666666666,1.0,437.7020239493989,303.6604734259495
Kokkola Ew,2004,0,0.5333333333333333,1.0,314.71018578087495,642.7808068011332
Kokkola Ew,2005,0,0.56,1.0,605.9993462162437,702.623222632848
Kokkola Ew,2006,0,0.6,1.0,654.0771892519688,1222.9212106889845
Kokkola Ew,2007,0,0.6666666666666666,1.0,400.97019232272004,1066.9176514175442
Kokkola Ew,2008,0,0.6666666666666666,1.0,289.6092544923923,870.8586548308886
Kokkola Ew,2009,0,0.6666666666666666,1.0,484.40437246063215,733.937472228944
Kokkola Ew,2010,0,0.6666666666666666,1.0,295.48463456469347,965.4771784642735
Kokkola Ew,2011,0,0.6666666666666666,1.0,344.9625421973603,1184.76825799962
Kokkola Ew,2012,0,0.5333333333333333,1.0,377.1973518924253,910.701977977671
Kokkola Ew,2013,0,0.26666666666666666,1.0,416.49708654295705,620.9346932352228
Kokkola Ew,2014,0,0.3333333333333333,1.0,538.6579380491202,637.6917506905429
Kokkola Ew,2015,0,0.13333333333333333,1.0,625.7403040522361,626.0847314924467
Kokkola Ew,2016,0,0.03333333333333333,1.0,562.2139195262345,526.1823495711269
Kokkola Ew,2017,0,0.03333333333333333,1.0,523.0624830203443,756.6289598528965
Cologne,1992,0,0.9166666666666666,1.0,987.505982760015,
Cologne,1993,0,0.8333333333333334,1.0,959.1938700091315,643.4263428857876
Cologne,1994,0,0.8333333333333334,1.0,841.3371092476353,710.6444034910924
Cologne,1995,0,0.8333333333333334,1.0,659.2490789967804,1003.1611059604347
Cologne,1996,0,0.8333333333333334,1.0,839.2436749351455,694.3183006954018
Cologne,1997,0,0.8333333333333334,1.0,906.3963774982449,686.8798854471715
Cologne,1998,0,0.8333333333333334,1.0,820.28826929231,498.08672926585473
Cologne,1999,0,0.8333333333333334,1.0,557.9950901626388,452.20109928406646
Cologne,2000,0,0.8333333333333334,1.0,555.4588259029698,533.8081174976221
Cologne,2001,0,0.8333333333333334,1.0,585.971062800398,398.2247760378723
Cologne,2002,0,0.8333333333333334,1.0,528.7539362675177,358.9698750922221
Cologne,2003,0,0.8333333333333334,1.0,437.7020239493989,303.6604734259495
Cologne,2004,0,0.8333333333333334,1.0,314.71018578087495,642.7808068011332
Cologne,2005,0,0.8333333333333334,1.0,605.9993462162437,702.623222632848
Cologne,2006,0,0.8333333333333334,1.0,654.0771892519688,1222.9212106889845
Cologne,2007,0,0.8333333333333334,1.0,400.97019232272004,1066.9176514175442
Cologne,2008,0,0.8333333333333334,1.0,289.6092544923923,870.8586548308886
Cologne,2009,0,0.8333333333333334,1.0,484.40437246063215,733.937472228944
Cologne,2010,0,0.8333333333333334,1.0,295.48463456469347,965.4771784642735
Cologne,2011,0,0.8333333333333334,1.0,344.9625421973603,1184.76825799962
Cologne,2012,0,0.8333333333333334,1.0,377.1973518924253,910.701977977671
Cologne,2013,0,0.8333333333333334,1.0,416.49708654295705,620.9346932352228
Cologne,2014,0,0.8333333333333334,1.0,538.6579380491202,637.6917506905429
Cologne,2015,0,0.8333333333333334,1.0,625.7403040522361,626.0847314924467
Cologne,2016,0,0.8333333333333334,1.0,562.2139195262345,526.1823495711269
Cologne,2017,0,0.8333333333333334,1.0,523.0624830203443,756.6289598528965
Osnabruck,1992,0,1.0363636363636364,1.0,987.505982760015,
Osnabruck,1993,0,0.8545454545454545,1.0,959.1938700091315,643.4263428857876
Osnabruck,1994,0,0.7,1.0,841.3371092476353,710.6444034910924
Osnabruck,1995,0,0.6909090909090909,1.0,659.2490789967804,1003.1611059604347
Osnabruck,1996,0,0.6818181818181818,1.0,839.2436749351455,694.3183006954018
Osnabruck,1997,0,0.5863636363636363,1.0,906.3963774982449,686.8798854471715
Osnabruck,1998,0,0.7663636363636364,1.0,820.28826929231,498.08672926585473
Osnabruck,1999,0,0.6927272727272727,1.0,557.9950901626388,452.20109928406646
Osnabruck,2000,0,0.780909090909091,1.0,555.4588259029698,533.8081174976221
Osnabruck,2001,0,0.7245454545454546,1.0,585.971062800398,398.2247760378723
Osnabruck,2002,0,0.7527272727272727,1.0,528.7539362675177,358.9698750922221
Osnabruck,2003,0,0.7727272727272727,1.0,437.7020239493989,303.6604734259495
Osnabruck,2004,0,0.7890909090909091,1.0,314.71018578087495,642.7808068011332
Osnabruck,2005,0,0.7909090909090909,1.0,605.9993462162437,702.623222632848
Osnabruck,2006,0,0.7727272727272727,1.0,654.0771892519688,1222.9212106889845
Osnabruck,2007,0,0.7363636363636363,1.0,400.97019232272004,1066.9176514175442
Osnabruck,2008,0,0.8363636363636363,1.0,289.6092544923923,870.8586548308886
Osnabruck,2009,0,0.8,1.0,484.40437246063215,733.937472228944
Osnabruck,2010,0,1.0153846153846153,1.0,295.48463456469347,965.4771784642735
Osnabruck,2011,0,0.9615384615384616,1.0,344.9625421973603,1184.76825799962
Osnabruck,2012,0,0.9615384615384616,1.0,377.1973518924253,910.701977977671
Osnabruck,2013,0,0.9230769230769231,1.0,416.49708654295705,620.9346932352228
Osnabruck,2014,0,0.7692307692307693,1.0,538.6579380491202,637.6917506905429
Osnabruck,2015,0,0.7692307692307693,1.0,625.7403040522361,626.0847314924467
Osnabruck,2016,0,0.7692307692307693,1.0,562.2139195262345,526.1823495711269
Osnabruck,2017,0,0.7692307692307693,1.0,523.0624830203443,756.6289598528965
Fornaci di Barga,1992,0,0.5833333333333334,1.0,987.505982760015,
Fornaci di Barga,1993,0,0.6916666666666668,1.0,959.1938700091315,643.4263428857876
Fornaci di Barga,1994,0,0.75,1.0,841.3371092476353,710.6444034910924
Fornaci di Barga,1995,0,0.7916666666666666,1.0,659.2490789967804,1003.1611059604347
